nhood,population,popdensityperacre,percapitaincome,percentnonwhite,percentinpoverty,medianhomevalue,unemploymentrate,totalarrests,percapitacriminalarrests,totalencampmentreports,percapitaencampments,medianhoursofsummerfog,percentinliquefaction
Treasure Island,3,5,15886,66,51,--,12,37,12,7,2,4,78
McLaren Park,1,2,15387,94,33,669643,26,34,40,19,22,7,4
Tenderloin,28,112,27946,57,30,509804,8,2589,92,3929,139,4,22
Lakeshore,14,8,22570,54,28,681159,16,418,29,24,2,8,14
Chinatown,15,103,24653,86,27,846774,7,542,37,141,10,4,49
South of Market,19,34,54202,62,27,752521,6,3613,188,12189,636,4,95
Japantown,4,47,68352,43,20,606250,5,281,77,128,35,4,0
Bayview Hunters Point,38,11,24817,86,19,566355,12,1543,41,1241,33,5,55
Western Addition,22,60,51264,57,17,636719,6,1188,54,2134,96,4,0
North Beach,13,39,60254,49,16,806903,7,1087,86,622,49,3,55
Visitacion Valley,19,47,20942,88,15,580231,10,393,21,28,2,7,2
Nob Hill,22,97,58623,45,14,685404,5,858,39,2957,133,4,1
Mission,59,49,53196,43,14,797306,6,3722,64,17388,297,5,33
Oceanview/Merced/Ingleside,28,42,26413,80,14,624528,10,354,13,84,3,8,1
Hayes Valley,18,58,61210,33,13,805046,5,875,48,644,35,4,13
Inner Richmond,23,47,56925,46,13,839002,6,466,21,314,14,6,0
Lone Mountain/USF,18,49,50860,38,10,904561,8,491,27,82,5,4,3
Outer Richmond,45,39,44745,56,10,880501,4,662,15,331,7,6,4
Sunset/Parkside,81,30,42430,65,10,829029,6,972,12,167,2,6,9
Russian Hill,18,56,91854,33,9,810158,3,718,40,146,8,4,12
Haight Ashbury,18,51,81392,20,9,908163,4,479,27,1166,65,4,7
Excelsior,39,44,28057,72,9,628628,8,530,14,82,2,6,2
Bernal Heights,26,38,53243,43,9,838307,7,549,21,557,21,6,11
Portola,16,31,29659,78,9,653611,7,349,21,157,10,7,7
Financial District/South Beach,17,24,114083,46,9,681493,5,2575,148,5215,299,4,61
Mission Bay,11,20,70287,58,9,754513,5,472,45,2141,203,4,93
Potrero Hill,14,19,84521,36,9,879765,6,720,52,2212,161,4,31
Presidio Heights,11,33,88517,31,8,913846,5,163,15,85,8,5,0
Castro/Upper Market,21,38,94317,22,7,907208,4,1030,49,4607,218,4,13
Outer Mission,24,38,32582,76,7,684176,8,450,19,129,5,6,4
Glen Park,8,19,72039,30,7,954665,5,133,16,79,10,6,20
Pacific Heights,24,47,102141,26,6,866733,4,554,23,631,26,4,0
West of Twin Peaks,38,20,67869,46,6,927384,4,622,16,60,2,7,7
Seacliff,2,18,117489,24,6,869565,5,14,6,3,1,6,12
Marina,25,38,98411,17,5,975000,4,741,30,576,23,4,51
Twin Peaks,7,18,64279,36,5,885714,4,84,11,30,4,4,16
Noe Valley,19,39,91014,22,4,934003,4,285,15,55,3,4,4
Presidio,4,3,86967,12,4,--,1,8,2,9,2,5,19
Lincoln Park,0.3,1,43922,44,4,750000,10,10,31,9,28,5,38
Inner Sunset,29,32,63133,44,0.09,910805,4,343,12,124,4,6,11
Golden Gate Park,0.09,0.1,,,,,,278,3089,203,2256,6,6
